text,label
why was i charged a fee for my withdrawal?,19
the app is telling me that i am not me.,68
why haven't i seen the cash from the cheque i deposited yet?,6
$1 charge in transaction.,34
how long does it take for my id to verify?,68
why is my transfer more expensive than i thought?,64
why does my statement show a $1 charge on my account?,34
can i cancel a transaction?,8
i was charged more than once for a card payment i made.,63
"over the holiday i withdrew cash from the atm and it seems that i was severely overcharged. had i known that i would be charged those fees, i would not have used the atm!",76
how can you transfer my salary to my correct currency?,50
my card is expiring so how fast can i get a new one and how much will it be?,9
i'm trying to activate the auto-top up function. where is it?,4
"hello. please, would you tell me if you have or have not received funds for a refund that i recently requested for a big purchase? i've contacted the merchant, but i can't tell that they have taken any action on it.",51
"help me please, my apple pay american express top up does not work.",2
am i gonna be charged for sending out more cards?,39
is my child too young to sign up?,1
is there a reason why my card was declined when i attempted to withdraw money?,26
i can't figure out how to unblock my pin number. can you help me?,49
activate my card,0
i am unsuccessfully trying to make a transfer can you help?,35
i added money but my top-up wasn't processed by the app.,59
is there somewhere i can send a check to add to my account?,58
how do i find the refund on my statement?,51
is there any reason why my card didn't work when i tried to top up?,59
"i need to top up, but i have to use an international card.  is there a cost for that?",57
"someone has copied my card. i have my card with me, but someone just made a 500£ cash withdrawal. please help now.",20
"please help me with this transfer, for some reason i can't transfer to a cryptocurency account",27
is a physical card also available,43
i've been charged an extra £1 and i don't know why,34
which atm's am i able to change my pin?,21
i am having trouble with the app recognizing me.,68
is there a fee to top up a us card using a debit or credit card?,57
what is the process for setting up and account for my child?,1
would you give me a mastercard and visa?,73
will a beneficiary not accept a transfer?,7
i did a transfer and was charged a fee that should not have been charged!,64
my transfer is stuck pending? how do we fix it to it goes through?,48
"when i got my cash, the amount was not what it should have been, based on the exchange rate.",76
i got less money than i asked for.,75
is there a fee for paying by card?,15
what are the steps to verify identity?,69
do i need to re-apply to order a new card when my old one's about to expire?,9
can i obtained a visa card,73
my google pay top up isn't working. help.,2
i think my card is lost.  what do i do?,41
how do i track the card you sent me?,11
why is my card payment pending?,45
what documents do i need for the identity check?,69
who gets support?,24
is there anywhere that a card cannot be delivered?,43
why is top up not working for my apple pay app,2
"hi, i sent a payment to the wrong account number - can you cancel it as soon as possible?",8
exchange fee help?,31
"what currencies can i not hold many in, if so what are they?",36
can someone in the us have a card?,24
what areas are cards delivered to?,43
when does a uk transfer show up?,5
what do i need for the verification check?,69
why does my statement show an extra fee?,34
is there anyway to use a cheque to top up?,58
auto-top up option can be found where?,4
do you support countries other than mine?,24
what am i going to need in order to activate my card?,0
how can i get a virtual card for a one-time transaction?,37
why can't i see my top up?,62
why is there an extra charge of 1 dollar on my statement?,34
which currencies will you exchange?,36
why do i still have a pending cash withdrawal?,46
how long does transfer from the us take?,67
"i have the funds, why can i not use my top-up?",59
where did the money i deposit go??,6
what's going on with my card? i've tried multiple times and it never goes through.,14
"i haven't received my card yet, how long does it normally take?",12
"help, my phone was stolen, please advise!",42
i want to know why my top-up was reverted,61
"if i want to topup by card, how do i do it?",54
i'm at the atm right now and it only allowed me to withdraw 10 pounds instead of my requested 30. what's going on? how can i fix this?,75
where's the money from my transfer from europe?,67
can you tell me why a refund i'm owed is not showing on my statement?,51
what kind of fees will i pay when i transfer?,64
i need to cancel a purchase that i made the other day.,52
is there a maximum for top-ups?,60
i have used all of my pin tries. what should i do now?,49
what is the maximum top up?,60
how do i activate my new card i just got?,0
"i normally have no issues making transfers, so why am i suddenly being told it is not possible?",7
card is being used by someone else,22
does it cost anything to buy something from another country? like is there going to be hidden transfer fees or currency conversion fees?,64
what are your supported countries?,24
it declined my transfer.,27
can i reactivate a card?,13
i withdrew cash abroad and the exchange rate applied is wrong.,76
there is a transaction showing up several times.,63
"a wd was just made on my account, but it was not me and i still have my card.  what to do?",20
atm refused to give me money,26
why does my statement contain an extra fee?,34
which currencies can i use to add money?,54
what is the procedure for an expired card?,9
there is a withdrawal waiting.,46
tell me more about getting a virtual disposable card.,37
tell my why my top-up is pending.,47
what is the price of a transfer?,56
i want to add money automatically when i travel.,4
my card has been stolen what do i do?,41
is there a limit for top ups?,60
"suddenly, my card won't work.",14
how can i link the new card?,13
"i asked for a certain amount of money from the atm, but it gave me a different amount. less than what i asked for.",75
where do you find your exchange rates?,32
can i have a refund for one of your products?,52
help me figure out how to link the new card.,13
transfer was declined.,27
"hello. i bought an item a while ago, and have since requested a refund.  however, upon checking my online statements, it seems that i haven't been issued a refund yet.  how can this be remedied?",51
i need to transfer something to china. it is urgent. how many days will it take to get there?,67
my card did not work at store.,25
can i order a card?,43
"how long does eu transfer take? i bought something online a couple days ago , sent the money immediately online but the seller says it is still not there yet",48
can i choose delivery times to suite me?,12
what should i do if someone stole my phone?,42
dude i put money in the atm last week but it ain't there! i need the money now figure this out!,6
"would you be able to offer me a discount, since i need to exchange currencies frequently?",31
the app failed to verify me.,68
how long does it take for a purchase to go from pending to authorised?,45
my statement shows charges for things i never purchased. were my account details stolen?,22
what is my money worth in other countries?,32
why did you charge me a fee when i made a transfer?,64
i entered my pin wrong  too many times.,49
why is there an extra fee on a transfer?,64
is my transfer pending?,48
what countries can i use your services?,24
i couldnt transfer money from my account.,35
how can i replace an expired card?,9
"while abroad, i got cash, and the exchange rate applied is wrong.",76
can i use a bank transfer to add money to my account?,65
how do i ask for a physical card?,43
i got an cancellation error when i was topping up.,61
"my transfer failed, why did that happen?",35
i did a cash deposit to my account but it doesn't show up,6
can someone help me unblock my pin?,49
my top up is not working,59
when will my payment go through?,45
i don't have a pin at this point.,38
is it possible for me to give my daughter a second card for this account?,39
how come there is a duplicate charge on my card?,63
i need to know which fiat currencies i can use with you.,36
why didn't i receive the right amount of cash at the atm?,75
can i electronically transfer funds into my account from my american express?,54
i'm interested in learning more about disposable virtual cards.,37
the card pin is not visible anywhere?,38
can i open up an account for my child?,1
i just moved to the us how do i get a card?,24
i need to know the process to transfer money into my account.,65
i've completely forgot the code to get into the app.,44
am i allowed to hold money in multiple currencies?,36
i just made a top-up but it shows as pending! i use your service all the time and have never had a problem before. why does it keep showing up as pending?,47
i an not sure but it looks as if a card payment i made was cancelled.,53
how can i get my card out of the atm?,18
what is the most that i can top-up to a card?,60
how can i revert a transaction from this morning?,8
how do i start an exchange between gbp and aud?,33
can i put my found card back into the app on my phone?,13
please verify my source of funds.,70
there's a payment showing in the app today even though i have not used my card at all. i want a refund.,28
are there limits on the virtual cards?,29
what do i do if my card is stolen?,41
my phone was lost,42
"i attempted to top-up with my card this morning, but the transaction was unsuccessful. i received the card two days ago and was successful using it previously. could you please help me?",59
"i have tried to submit a transfer a couple of times now, and for some reason, it continues to be unsuccessful. do you know why this may be?",7
what is this strange payment in my account?,16
i want to change the wrong exchange rate.,17
how can i change my pin without going to the bank?,21
i didn't withdraw the amount of cash that is showing up in the app.,20
will i be charged a fee to top up using a debit or credit card?,57
when i went to withdraw cash today the atm gave me the wrong amount of cash. the app is showing a larger amount.,75
am i able to track the card that was just sent to me?,11
why has my beneficiary been denied?,7
will you charge me if i top up by card?,57
how do i change to a different currency?,33
i made a transfer a couple hours ago but my balance has not been updated. why is this? shouldnt this be instant?,5
what does pending mean on a cash withdrawal?,46
how can i go about ordering a virtual card?,40
"hi, status of one of my card payment is still pending from a while. please let e know how much time it will take to complete.",45
what is the charge to make a transfer,56
i still have not received an answer as to why i was charged $1.00 in a transaction?,34
"after my checque or cash deposit, my balance didn't update.",6
how can i change my pin even though i'm out of the country in austria at the moment?,21
is it possible for me to change my pin number?,21
there were a couple of payments that i have noticed on my account with my card that i didn't make. is it possible that somebody else has my card information?,16
is the pin sent in another message?,38
where did my deposit for my source of funds come from?,70
i can't get cash from the atm!,26
"please double check my card - withdrawal was working fine so far, but this morning on the way to work it suddenly got declined!",26
i transferred money but the recipient does not see the funds in their account?,66
i do not understand why my pass-code is not working.,44
earlier today i took money out the atm. after checking the app the amount is so much higher than the amount i received.,75
my automatic top-up was unsuccessful,61
what method do you use for the exchange rate?,32
why did the app deny my top-up?,59
how do i activate my card so i can start using it?,0
"i want to reactivate my card, i thought i had lost it but found it again this morning.",13
"its been 3 days, how long will my transfer take to get to my wallet?",67
which one are you?  visa or mastercard?,73
"lost card found, want to put it back in app",13
i have an account that is empty of funds. can i transfer some from another bank?,65
why do you keep declining my payment? i tried several times already with this card and it is just not working.,25
"i signed up, but don't have a pin. where can i find it?",38
i need my card frozen cause it was used without my consent to take money out. it was in an odd place.,20
why is my identity not being verified?,68
i forgot my pin and now it is blocked.,49
where can i find my pin? i haven't gotten it yet.,38
what are the countries you have offices in?,24
i will not be able to verify my identity.,68
"why wasn't it obvious that you charge for payments? if you put the fees in an easy to read format, this could have been avoided.",15
i am concerned that i am being doubled charged for several items purchased in the past week.  please review my statement and correct.,63
how many disposable cards can you own?,29
my identity verification hasn't passed yet is it possible to use my account?,74
the bank transfer was declined,27
i bought an item and now i want a refund.,52
how much would i be charged for a transfer?,56
my new card needs activating.,0
"someone stole my phone, what is my next step?",42
there is a payment in the app i did not make,16
i need my payment in another currency,50
my account says i have money but i withdrew it in cash.,46
why did i get declined transfer,27
i need some help now please! there are some transactions on my account that i do not remember purchasing. can they be reversed? can you please cancel or freeze my card so i don't keep getting charged?!,16
what is the longest a us transfer should take to appear in my account?,67
why isn't the transfer i made to a friend showing?,66
i want to transfer some money from my other bank account into this one.,65
why hasn't my virtual card arrived?,40
